OBS,YEAR,MONTH,U.S._STATE,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,CUSTOMERS.AFFECTED,POPULATION,OUTAGE.START,OUTAGE.RESTORATION,anomaly_bin
2,2014,5.0,Minnesota,East North Central,-0.1,normal,intentional attack,vandalism,,1.0,,5457125,2014-05-11 18:38:00,2014-05-11 18:39:00,-0.5 to 0
3,2010,10.0,Minnesota,East North Central,-1.5,cold,severe weather,heavy wind,,3000.0,70000.0,5310903,2010-10-26 20:00:00,2010-10-28 22:00:00,<-1.0
4,2012,6.0,Minnesota,East North Central,-0.1,normal,severe weather,thunderstorm,,2550.0,68200.0,5380443,2012-06-19 04:30:00,2012-06-20 23:00:00,-0.5 to 0
5,2015,7.0,Minnesota,East North Central,1.2,warm,severe weather,,,1740.0,250000.0,5489594,2015-07-18 02:00:00,2015-07-19 07:00:00,>1.0
6,2010,11.0,Minnesota,East North Central,-1.4,cold,severe weather,winter storm,,1860.0,60000.0,5310903,2010-11-13 15:00:00,2010-11-14 22:00:00,<-1.0
7,2010,7.0,Minnesota,East North Central,-0.9,cold,severe weather,tornadoes,,2970.0,63000.0,5310903,2010-07-17 20:30:00,2010-07-19 22:00:00,-1.0 to -0.5
8,2005,6.0,Minnesota,East North Central,0.2,normal,severe weather,thunderstorm,,3960.0,300000.0,5119598,2005-06-08 04:00:00,2005-06-10 22:00:00,0 to 0.5
9,2015,3.0,Minnesota,East North Central,0.6,warm,intentional attack,sabotage,,155.0,5941.0,5489594,2015-03-16 07:31:00,2015-03-16 10:06:00,0.5 to 1.0
10,2013,6.0,Minnesota,East North Central,-0.2,normal,severe weather,hailstorm,,3621.0,400000.0,5420541,2013-06-21 17:39:00,2013-06-24 06:00:00,-0.5 to 0
11,2013,6.0,Minnesota,East North Central,-0.2,normal,severe weather,hailstorm,,7740.0,193000.0,5420541,2013-06-21 03:00:00,2013-06-26 12:00:00,-0.5 to 0
12,2005,9.0,Minnesota,East North Central,0.0,normal,severe weather,tornadoes,,8880.0,200000.0,5119598,2005-09-21 19:00:00,2005-09-27 23:00:00,-0.5 to 0
13,2011,7.0,Minnesota,East North Central,-0.3,normal,intentional attack,vandalism,,,0.0,5348119,2011-07-08 10:00:00,2011-07-08 10:00:00,-0.5 to 0
14,2011,5.0,Minnesota,East North Central,-0.4,normal,intentional attack,vandalism,,1322.0,0.0,5348119,2011-05-11 15:55:00,2011-05-12 13:57:00,-0.5 to 0
15,2014,6.0,Minnesota,East North Central,0.0,normal,severe weather,thunderstorm,,60.0,55951.0,5457125,2014-06-15 00:00:00,2014-06-15 01:00:00,-0.5 to 0
16,2015,6.0,Tennessee,Central,1.0,warm,system operability disruption,uncontrolled loss,,19.0,,6600299,2015-06-07 13:54:00,2015-06-07 14:13:00,0.5 to 1.0
17,2012,8.0,Tennessee,Central,0.3,normal,intentional attack,vandalism,,,,6455469,2012-08-13 13:15:00,2012-08-13 13:15:00,0 to 0.5
18,2015,6.0,Tennessee,Central,1.0,warm,system operability disruption,uncontrolled loss,,21.0,,6600299,2015-06-07 13:52:00,2015-06-07 14:13:00,0.5 to 1.0
19,2011,4.0,Tennessee,Central,-0.5,cold,severe weather,,,196.0,64000.0,6398408,2011-04-19 22:44:00,2011-04-20 02:00:00,-1.0 to -0.5
20,2008,2.0,Tennessee,Central,-1.3,cold,severe weather,,,840.0,57000.0,6247411,2008-02-06 09:00:00,2008-02-06 23:00:00,<-1.0
21,2015,1.0,Tennessee,Central,0.6,warm,severe weather,winter,,935.0,,6600299,2015-01-07 17:00:00,2015-01-08 08:35:00,0.5 to 1.0
22,2012,7.0,Tennessee,Central,0.1,normal,severe weather,wind storm,,1260.0,50001.0,6455469,2012-07-05 19:00:00,2012-07-06 16:00:00,0 to 0.5
23,2015,7.0,Tennessee,Central,1.2,warm,intentional attack,vandalism,,,0.0,6600299,2015-07-30 13:00:00,,>1.0
24,2013,4.0,Tennessee,Central,-0.2,normal,intentional attack,,,619.0,,6496130,2013-04-21 02:11:00,2013-04-21 12:30:00,-0.5 to 0
25,2014,1.0,Tennessee,Central,-0.5,cold,severe weather,winter,,150.0,,6547779,2014-01-07 06:00:00,2014-01-07 08:30:00,-1.0 to -0.5
26,2009,7.0,Tennessee,Central,0.5,warm,equipment failure,computer hardware,,762.0,,6306019,2009-07-27 05:05:00,2009-07-27 17:47:00,0 to 0.5
27,2011,6.0,Tennessee,Central,-0.3,normal,severe weather,,,,106300.0,6398408,2011-06-22 09:46:00,2011-06-22 09:46:00,-0.5 to 0
28,2011,4.0,Tennessee,Central,-0.5,cold,severe weather,,,660.0,63000.0,6398408,2011-04-04 13:00:00,2011-04-05 00:00:00,-1.0 to -0.5
29,2014,6.0,Tennessee,Central,0.0,normal,severe weather,thunderstorm,,1.0,56475.0,6547779,2014-06-05 13:06:00,2014-06-05 13:07:00,-0.5 to 0
